1 ALLEN STREET,Unspecified,Unknown,Unknown
1382 LEXINGTON AVENUE,19,997220,224486
1388 LEXINGTON AVENUE,19,997250,224540
1388 LEXINGTON AVENUE,19,997250,224540
139 HAVEN AVENUE,33,1000160,247462
139 LUDLOW STREET,7,987526,201753
139 WEST 19 STREET,13,985417,209227
1391 2 AVENUE,19,995866,219530
1396 LEXINGTON AVENUE,19,997289,224611
1399 LEXINGTON AVENUE,19,997288,224596
14 EAST 125 STREET,25,1000399,232987
14 EAST 17 STREET,13,986640,207989
14 PRINCE STREET,5,985906,202561
14 WEST 125 STREET,28,1000026,233193
14 WEST 14 STREET,6,985805,207538
140 5 AVENUE,13,986620,208516
140 BARROW STREET,6,981557,205952
140 BARROW STREET,6,981557,205952
140 BAXTER STREET,5,984650,201139
140 BOWERY,5,985752,201241
140 BRADHURST AVENUE,32,1000600,240198
140 EAST 103 STREET,23,998646,227260
140 ELDRIDGE STREET,5,986611,201253
140 HENRY STREET,Unspecified,986849,199163
140 SHERMAN AVENUE,34,1005241,254169
140 SHERMAN AVENUE,34,1005241,254169
140 WEST 72 STREET,20,989780,222696
1402 LEXINGTON AVENUE,19,997347,224715
1405 AMSTERDAM AVENUE,26,996738,236301
141 AVENUE A,9,989024,204185
141 CHRYSTIE STREET,5,986171,201468
141 NAGLE AVENUE,34,1004643,252983
141 RIDGE STREET,7,989053,201591
141 WEST 115 STREET,28,997743,231399
141 WEST 116 STREET,28,997841,231671
1411 LEXINGTON AVENUE,19,997372,224747
1415 2 AVENUE,19,996007,219786
142 BAXTER STREET,5,984663,201167
142 DYCKMAN STREET,34,1004821,253685
142 EDGECOMBE AVENUE,32,999548,238510
142 NAGLE AVENUE,34,1004746,253038
142 WEST 83 STREET,20,991206,225299
142 WOOSTER ST EXTENSION,1,984320,203700
142 WOOSTER STREET,1,984320,203700
142 WOOSTER STREET,1,984320,203700
1421 3 AVENUE,19,996279,221728
1421 3 AVENUE,Unspecified,Unknown,Unknown
1421 LEXINGTON AVENUE,19,997422,224836
1421 LEXINGTON AVENUE,19,997422,224836
1424 THIRD AVENUE,19,996304,221786
1425 AMSTERDAM AVENUE,26,996878,236554
1429 5 AVENUE,25,999144,231107
143 DIVISION STREET,7,986754,199594
143 FT GEORGE AVENUE,34,1004241,251524
143 FT GEORGE AVENUE,34,1004241,251524
143 HESTER STREET,5,985657,200547
143 MOTT STREET,5,985180,201114
1433 1 AVENUE,19,996789,219650
1435 1 AVENUE,19,996793,219658
1437 1 AVENUE,19,996797,219666
1439 AMSTERDAM AVENUE,26,997006,236784
1439 ST NICHOLAS AVENUE,34,1002680,248894
144 BAXTER STREET,5,984677,201194
144 BOWERY,5,985765,201281
144 STANTON STREET,7,988193,201825
144 WEST 129 STREET,32,999489,234701
144 WEST 29 STREET,13,986635,211505
1440 AMSTERDAM AVENUE,26,997032,236843
1449 1 AVENUE,19,996874,219804
145 ALLEN STREET,5,987072,201701
145 ALLEN STREET,5,987072,201701
145 ATTORNEY STREET,7,988807,201651
145 AUDUBON AVENUE,33,1001817,246414
145 EAST HOUSTON STREET,5,987104,202778
145 EAST HOUSTON STREET,Unspecified,987104,202778
145 GRAND STREET,5,984423,201660
145 MOTT STREET,5,985187,201135
145 POST AVENUE,Unspecified,1006616,254384
145 VERMILYEA AVENUE,34,1006306,255116
145 VERMILYEA AVENUE,34,1006306,255116
145 VERMILYEA AVENUE,34,1006306,255116
1458 YORK AVENUE,19,997785,219965
1459 AMSTERDAM AVENUE,26,997089,236934
145A HESTER STREET,5,985625,200560
145B HESTER STREET,5,985625,200560
146 DELANCY STREET,7,987954,200876
146 NAGLE AVENUE,34,1004775,253052
146 SPRING STREET,1,983885,203139
146 SPRING STREET,1,983885,203139
146 SPRING STREET,1,983885,203139
146 SPRING STREET,1,983885,203139
146 SPRING STREET,1,983885,203139
146 SPRING STREET,1,983885,203139
146 SPRING STREET,1,983885,203139
146 SPRING STREET,1,983885,203139
146 WEST 129 STREET,32,999478,234707
146 WEST 28 STREET,13,986499,211285
146 WEST 29 STREET,13,986624,211511
1461 AMSTERDAM AVENUE,26,997098,236949
1463 3 AVENUE,19,996551,222218
1465 YORK AVENUE,19,997792,219989
1466 ST NICHOLAS AVENUE,34,1002881,249245
1467 AMSTERDAM AVENUE,26,997123,236994
1467 AMSTERDAM AVENUE,26,997123,236994
1467 LEXINGTON AVENUE,19,997677,225297
1469 AMSTERDAM AVENUE,26,997131,237009
1469 AMSTERDAM AVENUE,26,997131,237009
